epoch,beta,train_loss,train_reconstruction,train_kl,validation_loss,validation_reconstruction,validation_kl,seconds
1,0.010000000000000002,1.0542574943536183,1.0443969411992027,0.9860553154415554,0.7798929448942701,0.7617192592253248,1.8173685668945312,55.65907406806946
2,0.020000000000000004,0.7447922679479693,0.731538060331799,0.6627103808085124,0.712112081220047,0.6998442573980255,0.6133911911010742,47.762561082839966
3,0.03,0.6958544202403263,0.6912042067733641,0.15500711556540595,0.6810929392613727,0.6783863218068439,0.09022058181762695,48.22456955909729
4,0.04000000000000001,0.6692970974188628,0.6682629360836594,0.025854033380084566,0.6624729169950522,0.6618454699831046,0.015686175298690794,48.014182567596436
5,0.05,0.6527999646485286,0.6523887519634867,0.008224253700839148,0.6477220993741442,0.6473944412716318,0.006553162050247192,48.84086322784424
6,0.06,0.640611044660247,0.6403483519941138,0.004378211102220747,0.6394383581401933,0.6392019207882513,0.003940622532367706,48.786460161209106
7,0.06999999999999999,0.6316112703548817,0.6314008533803571,0.0030059567789236705,0.6345288254185609,0.6343309091484837,0.0028273752868175506,50.056682109832764
8,0.08000000000000002,0.6245008899954114,0.6243328892207365,0.0021000096834368175,0.6276681864476992,0.6274992698326899,0.002111457687616348,47.71924066543579
9,0.09000000000000001,0.618560027505135,0.6184157729548567,0.0016028283364242979,0.6234285634315914,0.6232869176375574,0.0015738421559333801,47.86722421646118
10,0.1,0.6132778351060437,0.613151121126634,0.0012671397940980063,0.6187921785456808,0.6186886532623441,0.001035252833366394,47.93728709220886
11,0.1,0.6086732755008756,0.6085637791722104,0.0010949632866515053,0.6170971326362863,0.6169925096958652,0.0010462294042110443,47.86140275001526
12,0.1,0.6051209839763138,0.6050152285822789,0.001057553940349155,0.6135976490098506,0.6134867660856514,0.001108829241991043,46.98852276802063
13,0.1,0.6014227753322976,0.6013298515835395,0.0009292374875810412,0.6122865162613595,0.6121854857787098,0.0010103048264980315,47.11763668060303
14,0.1,0.5979900433795602,0.5979039570747432,0.000860863048169348,0.6096214698797964,0.6095386669004463,0.0008280297935009003,47.0312774181366
15,0.1,0.595226476253179,0.5951396872510586,0.0008678900212049485,0.6079153351646622,0.6078293439376314,0.0008599122703075409,47.46777606010437
16,0.1,0.5927106755577715,0.5926267621824004,0.0008391337537103229,0.6061752968987141,0.6060933544971857,0.0008194240152835846,46.35835099220276
17,0.1,0.5901090897197838,0.5900269903779012,0.0008209934188259972,0.6059669799900037,0.6058801476311666,0.0008683235883712769,48.59419536590576
18,0.1,0.5881488430507215,0.5880686997092994,0.0008014334142208099,0.602782905685331,0.6026959912342087,0.0008691445112228393,48.75740599632263
19,0.1,0.5862002427692714,0.5861216122247944,0.0007863054447703891,0.6020899871807511,0.6019965534555133,0.0009343372523784638,48.64170169830322
20,0.1,0.5840372936287046,0.5839640011262749,0.0007329250242975023,0.6024068881892598,0.6023321168213522,0.0007477136790752411,48.529337882995605
21,0.1,0.582298820430992,0.5822219172991561,0.0007690313183599048,0.6011046186344667,0.6010202932660623,0.0008432536840438842,47.90566968917847
22,0.1,0.5805546556438563,0.5804835614771205,0.0007109416673580806,0.5997395395398146,0.5996661435467011,0.0007339599311351776,48.27260112762451
23,0.1,0.5788980473526215,0.5788272882238921,0.0007075912872950236,0.5990226651718497,0.5989580919327616,0.0006457323908805847,47.382243156433105
24,0.1,0.5774761375264508,0.5774110797170317,0.0006505780941910214,0.5980460861257461,0.5979813762620834,0.0006470986366271973,48.539515018463135
25,0.1,0.5759188792623091,0.5758566399561043,0.0006223930620484881,0.595932333974385,0.5958760936601398,0.00056240314245224,51.12133240699768
26,0.1,0.5744202082593417,0.5743522162665767,0.0006799199276500278,0.5976439385443855,0.5975642078584361,0.0007973068594932557,50.56939125061035
27,0.1,0.5735170022534536,0.5734507585021728,0.0006624375128083759,0.5960909281322364,0.5960158659347896,0.0007506219744682312,52.05712699890137
28,0.1,0.5723426529812592,0.5722763027936,0.0006635018765926361,0.5958926858986899,0.59582665446475,0.0006603143393993378,47.809683084487915
29,0.1,0.5709606147550423,0.5708959602435311,0.0006465451151132583,0.5963687024140887,0.5962937000781826,0.0007500233590602875,48.330498456954956
30,0.1,0.5696332813822204,0.5695711076267534,0.0006217375546693802,0.5950445516270821,0.5949803985602086,0.0006415306687355041,49.96953058242798
